seed,train_losses,test_accuracies,confusion_matrices
8276,"[1.6701259363032972, 1.0653596567680768, 0.8631515335243987, 0.7312149626519674, 0.6358053809236688, 0.559294444901864, 0.5060209466520783, 0.4586860384325237, 0.42903065437551047, 0.3999794116791557, 0.3694299280719684, 0.34872177852998915, 0.32941503944756734, 0.3098171368584304, 0.29131371156333963, 0.2800596741306812, 0.2628589207330323, 0.24616425434875366, 0.23604599083476055, 0.22192281705644124, 0.2151874412622903, 0.2041896865191057, 0.19960647726150424, 0.18828181660426851, 0.17520054716550176, 0.16999516550384824, 0.16341052991349983, 0.15288876797384618, 0.1511025078728071, 0.14425549981996533, 0.1366409491414152, 0.1328089835260378, 0.1252840820537961, 0.12305190328918302, 0.11496494418424566, 0.11455138348748008, 0.11365884216621404, 0.10540650335743147, 0.10853774908482267, 0.0984581027827833, 0.09453721192029431, 0.09380584132507482, 0.09510283262166373, 0.09275703079274396, 0.08588127499384343, 0.08004214649405474, 0.08091892524982047, 0.08233865438615118, 0.07723377649541326, 0.08054139108285117, 0.0775030701757049, 0.0746155451945103, 0.07113500984380845, 0.06919173374676796, 0.07388716363264701, 0.06886736500550948, 0.06354258198986577, 0.06426634755500062, 0.06282497271704857, 0.06873225025794542, 0.06423784620926508, 0.05996874192505694, 0.05971074627135949, 0.06153028182294744, 0.058728209577615154, 0.05782000262223546, 0.05646681194991597, 0.05731358002547337, 0.05776014928574986, 0.0580918374125991, 0.057990327401234366, 0.056845469881430306, 0.049351242418541476, 0.057299899501854656, 0.05661160353323459, 0.0539087482115916, 0.05593858946524465, 0.055528819749174674, 0.05555643162468586, 0.04888643608059343, 0.05573040895078264, 0.05065730174341242, 0.052238833558176406, 0.04967246340025607, 0.04887502281533559, 0.049306382191703295, 0.05769123629812161, 0.04622293405634973, 0.050865383728233446, 0.05490600170157945, 0.04510077689428959, 0.05062164252628679, 0.04738507473655521, 0.05135970360115933, 0.04800014698382496, 0.04345760933930993, 0.05058869714741512, 0.05753887809879716, 0.04600206801496313, 0.04111755454598371, 0.04255049511709291, 0.05655116680414056, 0.044319758179795256, 0.049577054483077636, 0.04664900511636606, 0.0424716263530714, 0.045717271767756744, 0.043823986789426, 0.04691075246966899, 0.05131428371376508, 0.044612715425698654, 0.04025566045199628, 0.044145305786291354, 0.051846938107705784, 0.052081699809416786, 0.043079158055412646, 0.042064756103803204, 0.04220890506859059, 0.04630533637850524, 0.0396743893696, 0.04462399670396886, 0.04250209337776846, 0.043886582370695024, 0.04668219849619719, 0.044664984167603505, 0.04395890969525822, 0.04371931451632429, 0.04169448832874103, 0.04542744646677771, 0.0441355680846764, 0.04661592309627577, 0.04285570848113893, 0.03797921758083164, 0.0450765152385606, 0.03819399587024013, 0.0443663565939783, 0.04514961558467973, 0.04076381638893843, 0.045387364583937904, 0.046168821686974074, 0.03610432648893131, 0.03818385579439876, 0.041041626886743336, 0.04087026449768325, 0.038831482529449644, 0.039515780837601405, 0.04251206577029031, 0.04567734886418142, 0.040328681237919405, 0.04218472451950564, 0.04049195182126235, 0.025082623486912065, 0.0098921159930501, 0.007874346571638609, 0.007000904888911482, 0.005891360017671095, 0.004788186411698447, 0.004811436609577035, 0.004292819420318774, 0.0036342130717732096, 0.004592216181535455, 0.003822698415366604, 0.003661806752998739, 0.003191494593194917, 0.00349757142360215, 0.0032215288420722288, 0.003170864757351682, 0.003065888745882346, 0.0029200299326931855, 0.0028218417818469885, 0.0029300363551851487, 0.002751036223632705, 0.0027840103992931497, 0.002621995270489822, 0.0024523685178350265, 0.002479168194461652, 0.0022996259250921075, 0.0024532427210533455, 0.0022448959819617613, 0.002094044226452189, 0.0020941881044015116, 0.002010967964461297, 0.0021935404594162896, 0.0019178466655223457, 0.001920953456140028, 0.0020974456397977316, 0.001919247285055611, 0.0019097007174879107, 0.0018963216963406328, 0.0018959722582973144, 0.0018904423439408393, 0.0018807675258409532, 0.001866547660457025, 0.0018880714114089651, 0.0019027965822610814, 0.0017719422677702145, 0.0018347537613136197, 0.0018088687306178895, 0.0017841060431432955, 0.001758289057798648, 0.0015276704119239122, 0.00162008382635914, 0.001606919728663138, 0.0018775214665837925, 0.0016278813061181723, 0.0016422756437180668, 0.0016977525704130626, 0.0016941416876070806, 0.0017024697405417137, 0.0015782420667495144, 0.0015442037594366504, 0.0015522091912374835, 0.0014357690545617153, 0.0014800427332216793, 0.0014369897638171283, 0.0015292831219371307, 0.0016109253793982837, 0.0016657711862919308, 0.0014865287498313734, 0.0015425794101242795, 0.0014180999408583835, 0.0014311366685805485, 0.0015309327388080456, 0.0014381233636704285, 0.0014404211051302397, 0.0012853037429880589, 0.0014192801198664258, 0.0013258407673830657, 0.0013350681934739127, 0.0012772883692889682, 0.0013726372162357707, 0.0012694822805647827, 0.001324705122259941, 0.0012000129878064832, 0.001366475202894086, 0.0012486916514547646, 0.0013871634534001588, 0.0013254060336794166, 0.0013173620158936257, 0.0013375714406906449, 0.0013352916153553335, 0.0012219191124752673, 0.0015886925934481047, 0.0013556095854560261, 0.0013721789757553202, 0.0013966634043354226, 0.0013819547677341173, 0.001400473882513278, 0.0013070040881676037, 0.0013018157338718181, 0.0014081542722403269, 0.001388268406822077, 0.0012460818376598755, 0.001394238095948487, 0.0013653318767044027, 0.0013738617569992982, 0.0012701715045632994, 0.0013458472988827279, 0.0013234196315996486, 0.0012439345411942614, 0.0012617887492673329, 0.0012986365364223737, 0.001321840190837491, 0.0012355403255021003, 0.001306020630770089, 0.0012806175485276558, 0.001298245302189494, 0.0013388883763649727, 0.0013527180720016461, 0.0013176070797108852, 0.0013985348306536731, 0.0012797075323388338, 0.001275602690576304, 0.0013080370707197419, 0.0013044117991586246, 0.0014142287774350914, 0.001442034741330063, 0.0014122830558484277, 0.0012243503375369532, 0.0013267849968365795, 0.001183685142031211, 0.0012911870899444083, 0.0013388034969043043, 0.001340097598725563, 0.0012176310264087422, 0.0013023799500705632, 0.0012325380270144857, 0.0012097575237600567, 0.0013693637476088908, 0.001212935133841183, 0.001242870132497195, 0.0013575616659691242, 0.00128419129253851, 0.001288670181084479, 0.0013284581216752452, 0.0013559802832892355, 0.0011801985777629292, 0.0012198020823557725, 0.0012425781627956186, 0.0012820058869143776]","[41.35, 57.53, 59.06, 60.17, 75.15, 72.32, 68.93, 75.92, 76.37, 71.89, 73.0, 61.14, 71.03, 78.52, 76.25, 75.64, 78.29, 82.48, 79.23, 79.65, 82.53, 82.69, 85.9, 81.27, 83.6, 87.52, 85.17, 87.58, 85.24, 86.43, 86.12, 81.58, 87.68, 89.62, 86.69, 88.74, 88.05, 82.27, 87.42, 87.79, 85.8, 87.43, 87.33, 89.02, 84.34, 88.21, 87.4, 88.36, 87.46, 86.55, 85.85, 87.87, 86.48, 87.17, 88.56, 90.32, 86.38, 90.0, 90.33, 89.84, 89.96, 90.48, 89.92, 88.95, 89.96, 89.23, 88.44, 88.26, 89.5, 89.97, 89.65, 91.41, 89.6, 90.41, 90.45, 90.81, 88.94, 91.09, 89.74, 89.55, 89.94, 89.69, 88.21, 90.12, 90.03, 89.93, 89.61, 90.38, 88.57, 91.12, 90.29, 91.04, 91.09, 90.84, 90.87, 90.91, 89.59, 90.78, 91.24, 89.93, 90.12, 90.03, 90.29, 90.86, 90.23, 90.83, 91.07, 91.44, 89.83, 90.67, 89.99, 91.35, 90.58, 90.6, 91.47, 89.85, 91.33, 89.69, 91.78, 91.41, 91.04, 90.64, 90.35, 90.57, 91.13, 90.96, 91.3, 91.31, 91.2, 91.53, 89.85, 91.67, 91.08, 90.96, 90.32, 91.38, 91.39, 91.36, 90.87, 90.88, 90.63, 90.3, 90.5, 91.32, 91.85, 90.92, 90.5, 91.4, 90.65, 90.97, 90.27, 92.93, 93.12, 93.1, 93.17, 93.48, 93.13, 93.23, 93.33, 93.46, 93.41, 93.56, 93.51, 93.44, 93.31, 93.42, 93.49, 93.42, 93.47, 93.42, 93.58, 93.58, 93.29, 93.56, 93.55, 93.63, 93.39, 93.65, 93.59, 93.62, 93.63, 93.6, 93.74, 93.89, 93.83, 93.53, 93.67, 93.66, 93.88, 93.7, 93.55, 93.59, 93.62, 93.54, 93.57, 93.6, 93.62, 93.47, 93.43, 93.46, 93.71, 93.54, 93.62, 93.58, 93.67, 93.62, 93.63, 93.87, 93.87, 93.73, 93.45, 93.75, 93.7, 93.86, 93.57, 93.71, 93.9, 93.88, 93.79, 93.74, 93.7, 93.62, 93.79, 93.94, 93.64, 93.73, 93.76, 93.75, 93.88, 93.72, 93.8, 93.84, 93.69, 93.84, 93.72, 93.69, 93.75, 93.54, 93.82, 93.56, 93.79, 93.76, 93.75, 93.79, 93.81, 93.66, 93.7, 93.94, 93.64, 93.74, 93.56, 93.86, 93.75, 93.82, 93.74, 93.59, 93.78, 93.57, 93.77, 93.78, 93.85, 93.69, 93.68, 93.7, 93.62, 93.78, 93.86, 93.82, 93.83, 93.64, 93.93, 93.88, 93.73, 93.69, 93.75, 93.82, 93.83, 93.83, 93.65, 93.76, 93.76, 93.85, 93.47, 93.68, 93.66, 93.6, 93.62, 93.73, 93.72, 93.71, 93.8, 93.87, 93.77, 93.8, 93.67, 93.75, 93.76, 93.86, 93.82, 93.76]",
6385,"[1.647271893213472, 1.0552866068642464, 0.8482524098642646, 0.7028929330503849, 0.6156558642149581, 0.5496787392269925, 0.5012601991291241, 0.45193649534984015, 0.41856572763694216, 0.39199816262173226, 0.3638582297450746, 0.3396118923145182, 0.320642359002167, 0.3039647406324401, 0.28075494165615655, 0.26963226420952535, 0.2528194613621363, 0.24354703680557363, 0.22685049891548084, 0.21818342543852604, 0.20801445967553522, 0.19667570613076923, 0.19194815828062384, 0.17913743786875855, 0.1710718305938689, 0.16172632285396157, 0.15894657089505965, 0.14774380983484675, 0.14507939618871646, 0.14096396848978593, 0.13168682596262762, 0.12504265534565273, 0.11698537322756884, 0.11265186174675022, 0.11503746895514944, 0.10285953037402666, 0.10628655963503492, 0.09858794648991064, 0.09421011689297683, 0.09236279796199191, 0.0856441455033353, 0.08827518158689941, 0.0862342909102321, 0.08304177930154612, 0.0812707674711028, 0.0756688381371367, 0.07502686228993756, 0.07464281566288618, 0.06972868184623358, 0.07289701438439852, 0.07043491923929099, 0.06495093660371955, 0.06620364890331426, 0.06342581142921505, 0.06066684733571299, 0.06134011814385043, 0.059790014895512854, 0.057178659662318505, 0.058308120054738295, 0.05029193295732788, 0.046854439729829424, 0.0532752821946045, 0.05355630519911837, 0.05814337757204081, 0.04788358710811037, 0.04888049165344299, 0.0468551356207265, 0.04813255384907393, 0.04566370172407049, 0.04998702621873458, 0.04548942111432552, 0.04735151327946378, 0.04743042201175333, 0.04821039045758336, 0.04244259695219986, 0.045036546279773916, 0.042946436702061795, 0.04284012726391368, 0.043621483251757326, 0.04652317855006936, 0.04129214853862934, 0.04008084681966459, 0.043263331535593856, 0.041039293902256836, 0.04038925238234727, 0.04360453238891785, 0.040812939574556124, 0.03932397971715768, 0.046771112129168436, 0.04245934854773686, 0.04132289435688282, 0.0417979645835774, 0.038218268888819094, 0.040031547349689486, 0.043611555054183584, 0.03231131621753163, 0.03670595707776754, 0.039705628741775516, 0.03811688758337589, 0.03874638827298494, 0.04226537419142454, 0.04279466617919143, 0.040814201053960816, 0.03221847270043743, 0.036332932288956156, 0.039059375067386784, 0.037506820910307756, 0.03284006379068355, 0.036666679099592786, 0.03824940586374487, 0.035697292036893764, 0.037651231261136966, 0.03668819053593994, 0.0416536969591237, 0.036917914001657, 0.033694584225125786, 0.03412635117957411, 0.037172674583723704, 0.03935723971513569, 0.034235486770263106, 0.04045849023243922, 0.03347489772283513, 0.03421663514712392, 0.0316741595281731, 0.03674817106703206, 0.0375499626385796, 0.03240673903190076, 0.03173598697792519, 0.03579237753325297, 0.03840404803104832, 0.04043699506327243, 0.0343900929125326, 0.03580918097737557, 0.0358719844901053, 0.038376785306226645, 0.03242882601368953, 0.03590240788436435, 0.03381744779281966, 0.036222782121766404, 0.03483950191170282, 0.03509303345940436, 0.03724838841392104, 0.03521055640543208, 0.029277450873699908, 0.03918255919285709, 0.037409389303411214, 0.03414663171772, 0.03502566680131133, 0.03386709751213527, 0.035170967136855094, 0.035107747291969825, 0.02035034422124343, 0.00922567211597672, 0.007123357487295795, 0.0057046960779082246, 0.005551440387239556, 0.005203269283308665, 0.004450780465928576, 0.004249472465977082, 0.004066074286754865, 0.003995141795570807, 0.003736292953555927, 0.0034295450421133558, 0.003034269151440405, 0.00331107773060334, 0.0031482749030558523, 0.0027242174970231415, 0.0029470891149266792, 0.0026515745489365037, 0.002553386299167057, 0.0024750527979084352, 0.002570117294030321, 0.0025290472038022346, 0.0024102222568312625, 0.0024167414128040787, 0.0023839819126540932, 0.002344631638405892, 0.0021696005460119607, 0.002637721616049807, 0.002225383864361388, 0.002185164466629798, 0.0020309553250594213, 0.002181440270255746, 0.0019511322643759104, 0.001966250432103508, 0.002067894942429074, 0.0019302194462577, 0.0017008887324154692, 0.0018785176460024999, 0.0019821709726372603, 0.0016584807850272797, 0.0018215590592279025, 0.0016932954055690647, 0.0015796378270968262, 0.0018655968141620574, 0.0016098270263678281, 0.0015588455286476633, 0.0017571409734676395, 0.0017106528284505744, 0.0016887138209566522, 0.0018105076079520629, 0.001570865986859807, 0.0015928174069885503, 0.0015700730362140675, 0.001616880853759849, 0.001697396706973436, 0.00167319966427883, 0.0016649696996267004, 0.001539988491563317, 0.0015710294624055733, 0.0015752055390682571, 0.0015157186730658811, 0.0014335463690893638, 0.0012539457383519753, 0.0013746829054978155, 0.0015015864001629907, 0.0013330531472702275, 0.0014875332875575638, 0.0013115891748044848, 0.0013344391379231477, 0.001466076364508494, 0.0013260212539688654, 0.0015052653477846377, 0.0015166852491252157, 0.00136884416596752, 0.0014276562108318238, 0.0012394190608711955, 0.0013111240610562485, 0.0014616614765138663, 0.0013640329619953552, 0.0012233761413727917, 0.0013533322392311423, 0.0013981828025183129, 0.0013797040133292804, 0.001357053162503566, 0.001286248636842572, 0.0012399320950067085, 0.0013784173965889393, 0.00124204399116585, 0.0011909304622812625, 0.0013343937876050735, 0.001261035813522749, 0.0015079484296539236, 0.0014375877799466252, 0.0013399461692998834, 0.0013509728667630558, 0.0013644275019693254, 0.0012111184480504784, 0.0012410313408027457, 0.0011370352511737814, 0.001348830635182719, 0.0013433350540791064, 0.001250276312223383, 0.0012284964408271152, 0.0011845741655005862, 0.0011402628248836726, 0.0012765554972115041, 0.0013249916177617547, 0.001373433517320427, 0.0011902145762711076, 0.0013845409946980627, 0.0013023874687585894, 0.0013096098259375419, 0.0013540734581904167, 0.0013178362649322972, 0.0013008101827219661, 0.0012353167728395285, 0.0013894097672750379, 0.0012420545502365126, 0.0012322999434271717, 0.0013560368053470988, 0.001245360345589509, 0.0012819838498065801, 0.0011464866515977876, 0.0011637432013100605, 0.0012713238384629436, 0.0011747249100944432, 0.0012371533130810064, 0.0011319821967896374, 0.0013006807186865888, 0.0012025245349369515, 0.0012491510499475997, 0.0011284357208721078, 0.0013025409837230763, 0.0012102264442297695, 0.0012134899794439074, 0.001413526615146381, 0.0013089037273743707, 0.0011491053610045076, 0.001393534707484137, 0.0012845997935678462, 0.0011990934138378614, 0.0012421989567069304, 0.0012229800293081538, 0.0011704612707244613, 0.0013077939366501973, 0.0011344636797376783, 0.0012252817185797497, 0.0012451234380649093, 0.0012141351720265797]","[46.31, 56.85, 64.55, 69.09, 66.28, 76.37, 79.37, 76.25, 79.17, 78.43, 76.43, 74.25, 83.12, 78.59, 81.38, 81.95, 79.66, 85.07, 82.56, 81.49, 86.37, 86.2, 81.24, 85.57, 87.08, 84.04, 84.11, 84.69, 86.28, 86.46, 88.69, 88.54, 87.74, 85.89, 87.79, 83.62, 85.77, 90.21, 88.47, 86.84, 88.04, 88.53, 89.45, 86.07, 88.42, 88.43, 88.85, 89.79, 85.56, 87.72, 83.32, 89.99, 88.51, 85.96, 88.9, 85.96, 89.7, 88.3, 87.69, 89.55, 88.51, 88.79, 90.58, 89.67, 89.47, 90.43, 89.6, 89.19, 89.93, 88.97, 89.86, 87.88, 90.49, 88.44, 91.2, 90.99, 90.12, 90.33, 90.37, 90.31, 90.56, 90.6, 91.24, 90.45, 90.24, 90.14, 89.39, 88.9, 91.25, 90.96, 90.58, 89.13, 90.53, 89.86, 90.84, 88.64, 89.72, 87.33, 89.64, 90.96, 90.61, 89.4, 90.63, 90.59, 91.03, 90.08, 90.89, 89.51, 91.3, 91.42, 90.37, 88.7, 90.27, 91.27, 90.49, 91.04, 91.5, 89.67, 90.57, 90.32, 90.84, 91.76, 90.49, 90.86, 90.01, 91.13, 91.67, 90.82, 89.9, 90.92, 89.88, 91.51, 90.5, 90.84, 90.93, 91.12, 91.32, 90.51, 90.83, 90.9, 90.49, 90.33, 91.24, 91.48, 90.6, 91.48, 91.23, 90.93, 91.36, 92.0, 90.33, 92.95, 93.26, 93.24, 93.58, 93.61, 93.28, 93.53, 93.69, 93.57, 93.63, 93.73, 93.54, 93.67, 93.82, 93.72, 93.78, 93.78, 93.82, 93.67, 93.74, 93.79, 93.74, 93.82, 93.77, 93.84, 93.96, 93.73, 93.88, 94.08, 93.77, 94.01, 93.94, 93.92, 94.0, 94.0, 93.98, 93.89, 93.97, 94.02, 93.99, 93.93, 93.98, 94.01, 93.98, 93.96, 94.02, 93.85, 94.06, 93.91, 94.04, 93.89, 94.0, 93.98, 93.91, 94.05, 94.0, 93.94, 93.9, 93.99, 94.16, 93.92, 94.01, 94.04, 94.18, 94.15, 93.97, 94.1, 93.9, 94.0, 94.07, 94.0, 94.12, 94.07, 93.89, 94.01, 94.11, 94.02, 94.1, 94.01, 94.05, 94.09, 94.08, 94.1, 94.08, 94.02, 93.94, 94.02, 94.22, 93.97, 94.12, 94.08, 94.08, 94.01, 94.13, 93.93, 93.97, 94.09, 94.01, 93.96, 93.98, 94.2, 94.08, 94.12, 93.91, 93.95, 94.03, 94.09, 94.07, 94.13, 94.03, 94.08, 94.04, 94.06, 93.98, 94.01, 94.13, 94.06, 93.96, 93.96, 93.83, 94.05, 94.07, 94.02, 94.13, 94.02, 94.07, 94.01, 94.12, 94.01, 94.17, 94.18, 94.06, 94.05, 93.95, 94.15, 94.09, 94.19, 94.03, 94.02, 93.99, 94.08, 93.97, 93.96, 94.06, 94.06, 94.1, 94.05, 93.94, 94.0]",
2967,"[1.6589424433305746, 1.0508281998622142, 0.8648034015579906, 0.743650915372707, 0.6387079421364134, 0.5636381997781641, 0.5151193921675767, 0.4678855578003027, 0.4284693727179257, 0.40088671289593975, 0.3701873477691275, 0.3458740709306639, 0.3292267618657988, 0.31021407318999394, 0.2923009866262641, 0.2775258654371247, 0.2579004004445222, 0.2462643457914862, 0.232444962786744, 0.22017068753157126, 0.2132154553556991, 0.1989640180031052, 0.1946833442391642, 0.18157626088241788, 0.17460261906504326, 0.16602542603869572, 0.1584147865719655, 0.1515721480750367, 0.14106940018856312, 0.14172150147959706, 0.1341933249150548, 0.13036411034557827, 0.12105634094923354, 0.11865141672913528, 0.10959233893819935, 0.10886587228273492, 0.10551273894241399, 0.10512286719992338, 0.0973169135830134, 0.09723014178235664, 0.08689834250380164, 0.08824272494753609, 0.08397487189401598, 0.08359051506747217, 0.07551194936551554, 0.07697846853386259, 0.07834177702436666, 0.07718965025794933, 0.0687361211799409, 0.07103053357004357, 0.06927585138527252, 0.0706957437531532, 0.059076341776572686, 0.06265884100952569, 0.05965561308490727, 0.060990061703831186, 0.05740293989534421, 0.0608722151273771, 0.05874289208761109, 0.06128682018450611, 0.05209834373001095, 0.05598903893162032, 0.05606821358389676, 0.04951185653524478, 0.04906998927731191, 0.05726952029301611, 0.05304713531509232, 0.04743875316975405, 0.048047894229659875, 0.04749494838430677, 0.050356455104392205, 0.044978113082782996, 0.04853661284993981, 0.043799355872632825, 0.04157216604822851, 0.04437929727232365, 0.044284456323765584, 0.036782387810785445, 0.04261725333393039, 0.044415455099547765, 0.04471542636323196, 0.045698464090657205, 0.04211729101579436, 0.048599986234427336, 0.04159524081074788, 0.04274460902351819, 0.046789554806421406, 0.04464391156044953, 0.0406908487205577, 0.03844806822517034, 0.03861957899225719, 0.04270323541710901, 0.036423208407552726, 0.04309723802003771, 0.03838680947170881, 0.03601162089511295, 0.039750553455556295, 0.04139015625905045, 0.03730956404624731, 0.04119731257419528, 0.042827569642592496, 0.03624533621184623, 0.03754247730964666, 0.03590103474986332, 0.042672318271825764, 0.04330161076201045, 0.037766395236158275, 0.036239527120633656, 0.03885437321641942, 0.03675775875782837, 0.03585400824885234, 0.033744369007056324, 0.03677698717895619, 0.036740461327469026, 0.04272130910542977, 0.035364990714518235, 0.03448748693186933, 0.03419660225324809, 0.036429342230820026, 0.03897388873007292, 0.040492022719682025, 0.03578602905382814, 0.03122107899697769, 0.031008765602822574, 0.04232419815624271, 0.037983213007674, 0.03534329712838697, 0.03444326160620908, 0.037413854048351576, 0.03916620376550824, 0.03282645622284992, 0.0251674363395566, 0.02854446394492865, 0.040015853300709704, 0.03940963887078378, 0.03654318137327805, 0.03711080872703849, 0.04056705535530015, 0.04081864395450391, 0.03306520736807257, 0.03234460116471247, 0.030459853690689254, 0.035759345031655426, 0.03353324195470118, 0.03326483739628111, 0.032865417709745604, 0.034034112974515425, 0.0354898515195512, 0.034776655308035254, 0.035492220352811125, 0.03316919033563293, 0.018330978181408455, 0.009046778326545653, 0.006573551413489987, 0.0059629273367152475, 0.0052407864309118495, 0.004436448206389656, 0.004679120572098076, 0.0036367384019865157, 0.00397225990875081, 0.003500888358799817, 0.0035484747948063074, 0.0031724399971880513, 0.0032213096057831206, 0.003256416239086753, 0.003276360617942222, 0.0029273433765620374, 0.0027085389961879177, 0.0027165298919280385, 0.0025662726680527837, 0.0023695671323301568, 0.002490521942535082, 0.002619473001463553, 0.0024649980823364098, 0.002477509682648815, 0.0021109411387172554, 0.0021463349234381846, 0.001979229324894762, 0.0020024409649990107, 0.0021178343865062917, 0.0021034819695874073, 0.0022247822432647176, 0.0019662008632931388, 0.0017022380565592061, 0.0019232932793567805, 0.001724521661295777, 0.0020027296764858287, 0.0017762984988181983, 0.001697540219822277, 0.0017692968116083498, 0.001763177017727152, 0.001736111338603158, 0.001816650248116866, 0.0015876878479012119, 0.001738998015276323, 0.00177594204503975, 0.0017176407306050748, 0.001605168076367844, 0.0016500877625177332, 0.0014640416798811248, 0.0016489496433829335, 0.0014443930082247637, 0.0013997789639893256, 0.0015763691074558465, 0.0014784829033424964, 0.0015067821757122398, 0.0014899056769929508, 0.001349551944777279, 0.0014674807755786286, 0.0014447250093891383, 0.0013911216757590752, 0.0014269913656085066, 0.0014922112578411807, 0.0013860167919747743, 0.0016331534410375492, 0.0014056673337569368, 0.0013262918688278869, 0.0013651799219583048, 0.001618106708029116, 0.00158490013649605, 0.001335013560187655, 0.00137713725288289, 0.0011382402135077102, 0.0013536784813612524, 0.0013886252029613137, 0.0013581798348264397, 0.001267003969189918, 0.0012338257175819624, 0.0013303588625103774, 0.001300543848954527, 0.0012256003461246405, 0.0012106265020220305, 0.0013843125667717174, 0.0012380297269250558, 0.0011579708134144536, 0.0012589738074326269, 0.001240252979661581, 0.0012786269613766156, 0.0012431403091798126, 0.0012521037694645564, 0.001217334617889198, 0.0012628702372979477, 0.0011906118058930615, 0.0012123201018520286, 0.0012449879700432906, 0.00129585045111, 0.001249959930474453, 0.001266107982871018, 0.0012183136400788109, 0.0011592656978756746, 0.0013106061522896542, 0.0012658829140924084, 0.0014006763384344003, 0.0011173494269519381, 0.0012661055739521814, 0.0012415084638260662, 0.0012285996531329864, 0.0012736279187891323, 0.0011638128035299867, 0.0012927583944739637, 0.0012369338441101233, 0.0013955686407525788, 0.0011736918752893919, 0.0012432221760032484, 0.0012331333651449746, 0.001126437142300491, 0.0012397504886677798, 0.001184238763616892, 0.0012981316760343755, 0.0011042769846614793, 0.0012150209486882601, 0.0011856653316713432, 0.0012656517488800962, 0.0012623199493290208, 0.0012584857299433822, 0.0012604139188168776, 0.0012062851317546062, 0.0012198486759879953, 0.0011745328359785811, 0.0010742183542548967, 0.0012171226849495445, 0.0013064296271600177, 0.0012056171925187045, 0.0013389408426626366, 0.0012283076594263324, 0.0011217172418827015, 0.0011019025342878374, 0.0010975335890342675, 0.001270622735840234, 0.0011691049322226296, 0.0011020211812258814, 0.0012421457429953595, 0.0010775781259365865, 0.0012296848377966753, 0.0011679391950041966, 0.0010895479285968658, 0.001230793438650563, 0.0012695259213491635, 0.0012231012289349796, 0.0011701252866525066]","[48.92, 62.85, 61.84, 68.32, 67.26, 66.45, 68.51, 73.56, 68.46, 71.01, 77.1, 78.25, 83.26, 79.85, 80.32, 84.07, 80.07, 84.3, 81.44, 83.97, 86.58, 84.94, 85.63, 85.3, 85.9, 85.54, 86.95, 87.23, 84.55, 85.19, 83.86, 87.74, 86.88, 87.08, 86.53, 87.43, 87.24, 87.95, 87.55, 89.62, 87.9, 87.59, 88.56, 86.95, 87.93, 89.0, 89.79, 88.67, 90.42, 89.9, 88.69, 88.76, 88.2, 90.22, 90.42, 88.37, 88.36, 89.06, 88.74, 89.59, 90.27, 89.31, 90.18, 91.48, 90.34, 89.32, 90.47, 90.62, 89.5, 90.7, 90.16, 88.96, 91.29, 91.52, 90.39, 90.05, 90.73, 91.32, 89.92, 89.86, 90.34, 89.79, 90.11, 89.77, 91.22, 91.2, 91.39, 90.13, 91.07, 91.35, 91.14, 92.02, 92.05, 89.88, 90.8, 89.11, 91.05, 91.55, 90.44, 91.23, 90.79, 91.54, 90.08, 90.67, 90.52, 90.16, 91.39, 89.4, 90.95, 91.51, 91.11, 91.36, 90.31, 87.6, 91.92, 90.63, 91.63, 91.63, 91.21, 90.84, 89.17, 91.25, 91.22, 91.41, 91.21, 90.78, 91.87, 92.25, 90.41, 90.58, 90.95, 90.84, 90.38, 91.12, 89.86, 90.33, 90.88, 91.49, 91.97, 90.31, 91.19, 90.85, 90.29, 90.42, 91.83, 91.24, 91.26, 91.58, 91.75, 92.01, 90.8, 92.93, 93.04, 93.51, 93.39, 93.32, 93.27, 93.56, 93.59, 93.62, 93.56, 93.63, 93.6, 93.61, 93.59, 93.76, 93.77, 93.74, 93.67, 93.63, 93.7, 93.89, 93.96, 93.86, 93.74, 93.75, 93.68, 93.86, 93.84, 93.83, 93.78, 93.61, 93.81, 93.75, 93.89, 93.95, 93.89, 93.75, 93.7, 93.8, 93.98, 94.03, 94.07, 93.92, 93.76, 93.71, 93.9, 93.92, 93.83, 93.88, 93.9, 93.83, 93.95, 94.04, 93.92, 93.68, 93.84, 93.94, 94.02, 93.85, 93.93, 94.11, 93.82, 93.98, 94.05, 94.07, 94.15, 93.99, 94.07, 93.97, 94.06, 94.15, 94.02, 94.05, 94.08, 94.36, 94.08, 93.96, 94.07, 94.2, 93.84, 93.99, 93.87, 94.22, 94.21, 93.98, 94.09, 93.97, 93.95, 94.03, 94.29, 94.01, 93.93, 94.03, 94.08, 93.99, 93.91, 94.0, 93.9, 94.16, 93.84, 94.04, 93.93, 93.96, 94.03, 93.97, 94.04, 93.97, 93.78, 94.01, 94.12, 94.1, 94.07, 93.94, 94.07, 93.87, 93.76, 93.94, 93.93, 93.97, 94.06, 93.95, 94.03, 94.1, 94.03, 93.86, 93.82, 94.07, 94.05, 94.08, 94.04, 94.0, 94.05, 94.04, 94.2, 93.96, 94.01, 93.9, 93.99, 93.94, 93.9, 93.95, 93.96, 94.13, 94.02, 94.29, 94.02, 94.04, 94.04, 93.98]",
